"Chronic Absenteeism, 2017-18"
"All Districts, All Students"

"District","District Code","% Chronically Absent"
"South Windsor School District","=""1320011""",5.3
"Southington School District","=""1310011""",5.5
"Sprague School District","=""1330011""",8.4
"Stafford School District","=""1340011""",10.1
"Stamford Academy District","=""2820013""",80.4
"Stamford Charter School for Excellence District","=""2960013""",12.3
"Stamford School District","=""1350011""",10.7
"Sterling School District","=""1360011""",10.6
"Stonington School District","=""1370011""",5.6
"Stratford School District","=""1380011""",12.8
"Suffield School District","=""1390011""",7.5
"The Bridge Academy District","=""2690013""",14.3
"The Gilbert School District","=""9020022""",1.3
"Thomaston School District","=""1400011""",8.5
"Thompson School District","=""1410011""",10.7
"Tolland School District","=""1420011""",4.5
"Torrington School District","=""1430011""",13.5
"Trailblazers Academy District","=""2780013""","*"
"Trumbull School District","=""1440011""",4.3
"Unified School District #1","=""3360015""",30.1
"Unified School District #2","=""3470015""","*"
"Union School District","=""1450011""","*"
"Vernon School District","=""1460011""",8.5
"Voluntown School District","=""1470011""",6.0
"Wallingford School District","=""1480011""",6.3
"Waterbury School District","=""1510011""",18.2
"Waterford School District","=""1520011""",7.1
"Watertown School District","=""1530011""",11.5
"West Hartford School District","=""1550011""",6.2
"West Haven School District","=""1560011""",11.7
"Westbrook School District","=""1540011""",7.1
"Weston School District","=""1570011""",4.2
"Westport School District","=""1580011""",13.0
"Wethersfield School District","=""1590011""",4.0
"Willington School District","=""1600011""",4.1
"Wilton School District","=""1610011""",3.7
"Winchester School District","=""1620011""",8.7
"Windham School District","=""1630011""",13.8
"Windsor Locks School District","=""1650011""",12.4
"Windsor School District","=""1640011""",7.6
"Wolcott School District","=""1660011""",3.9
"Woodbridge School District","=""1670011""",5.5
"Woodstock Academy District","=""9030022""",7.0
"Woodstock School District","=""1690011""",4.5

