"District","FIPS","Year","Variable","Measure Type","Value"
"Brookfield School District","900108980","2012-2013","Chronically Absent Students","Percent","1.9"
"Brookfield School District","900108980","2013-2014","Chronically Absent Students","Percent","4.1"
"Brookfield School District","900108980","2014-2015","Chronically Absent Students","Percent","3.9"
"Brookfield School District","900108980","2015-2016","Chronically Absent Students","Percent","2.2"
"Brookfield School District","900108980","2016-2017","Chronically Absent Students","Percent","4.6"
"Brooklyn School District","","2011-2012","Chronically Absent Students","Percent","7.0"
"Brooklyn School District","","2012-2013","Chronically Absent Students","Percent","6.9"
"Brooklyn School District","","2013-2014","Chronically Absent Students","Percent","4.2"
"Brooklyn School District","","2014-2015","Chronically Absent Students","Percent","5.5"
"Brooklyn School District","","2015-2016","Chronically Absent Students","Percent","2.4"
"Brooklyn School District","","2016-2017","Chronically Absent Students","Percent","4.8"
"Canaan School District","","2011-2012","Chronically Absent Students","Percent","10.7"
"Canaan School District","","2012-2013","Chronically Absent Students","Percent","-9999"
"Canaan School District","","2013-2014","Chronically Absent Students","Percent","10.1"
"Canaan School District","","2014-2015","Chronically Absent Students","Percent","-9999"
"Canaan School District","","2015-2016","Chronically Absent Students","Percent","9.2"
"Canaan School District","","2016-2017","Chronically Absent Students","Percent","9.5"
"Canterbury School District","","2011-2012","Chronically Absent Students","Percent","3.7"
"Canterbury School District","","2012-2013","Chronically Absent Students","Percent","6.4"
"Canterbury School District","","2013-2014","Chronically Absent Students","Percent","4.8"
"Canterbury School District","","2014-2015","Chronically Absent Students","Percent","3.8"
"Canterbury School District","","2015-2016","Chronically Absent Students","Percent","3.7"
"Canterbury School District","","2016-2017","Chronically Absent Students","Percent","5.9"
"Canton School District","900312270","2011-2012","Chronically Absent Students","Percent","4.5"
"Canton School District","900312270","2012-2013","Chronically Absent Students","Percent","4.7"
"Canton School District","900312270","2013-2014","Chronically Absent Students","Percent","9.1"
"Canton School District","900312270","2014-2015","Chronically Absent Students","Percent","9.2"
"Canton School District","900312270","2015-2016","Chronically Absent Students","Percent","5.6"
"Canton School District","900312270","2016-2017","Chronically Absent Students","Percent","6.5"
"Capital Preparatory Harbor School Inc. District","","2011-2012","Chronically Absent Students","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2012-2013","Chronically Absent Students","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2013-2014","Chronically Absent Students","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2014-2015","Chronically Absent Students","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2015-2016","Chronically Absent Students","Percent","13.7"
"Capital Preparatory Harbor School Inc. District","","2016-2017","Chronically Absent Students","Percent","9.2"
"Capitol Region Education Council","","2011-2012","Chronically Absent Students","Percent","14.4"
"Capitol Region Education Council","","2012-2013","Chronically Absent Students","Percent","14.3"
"Capitol Region Education Council","","2013-2014","Chronically Absent Students","Percent","13.7"
"Capitol Region Education Council","","2014-2015","Chronically Absent Students","Percent","15.0"
"Capitol Region Education Council","","2015-2016","Chronically Absent Students","Percent","11.6"
"Capitol Region Education Council","","2016-2017","Chronically Absent Students","Percent","14.0"
"Chaplin School District","","2011-2012","Chronically Absent Students","Percent","9.6"
"Chaplin School District","","2012-2013","Chronically Absent Students","Percent","8.3"
"Chaplin School District","","2013-2014","Chronically Absent Students","Percent","8.6"
"Chaplin School District","","2014-2015","Chronically Absent Students","Percent","11.4"
"Chaplin School District","","2015-2016","Chronically Absent Students","Percent","10.1"
"Chaplin School District","","2016-2017","Chronically Absent Students","Percent","7.5"
"Charter School for Young Children on Asylum Hill","","2011-2012","Chronically Absent Students","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2012-2013","Chronically Absent Students","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2013-2014","Chronically Absent Students","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2014-2015","Chronically Absent Students","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2015-2016","Chronically Absent Students","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2016-2017","Chronically Absent Students","Percent","-6666"
"Cheshire School District","900914160","2011-2012","Chronically Absent Students","Percent","5.4"
"Cheshire School District","900914160","2012-2013","Chronically Absent Students","Percent","4.1"
"Cheshire School District","900914160","2013-2014","Chronically Absent Students","Percent","5.1"
"Cheshire School District","900914160","2014-2015","Chronically Absent Students","Percent","4.1"
"Cheshire School District","900914160","2015-2016","Chronically Absent Students","Percent","5.2"
"Cheshire School District","900914160","2016-2017","Chronically Absent Students","Percent","3.8"
"Chester School District","","2011-2012","Chronically Absent Students","Percent","6.1"
"Chester School District","","2012-2013","Chronically Absent Students","Percent","9.2"
"Chester School District","","2013-2014","Chronically Absent Students","Percent","3.2"
"Chester School District","","2014-2015","Chronically Absent Students","Percent","-9999"
"Chester School District","","2015-2016","Chronically Absent Students","Percent","2.8"
"Chester School District","","2016-2017","Chronically Absent Students","Percent","-9999"
"Clinton School District","900715350","2011-2012","Chronically Absent Students","Percent","10.5"
"Clinton School District","900715350","2012-2013","Chronically Absent Students","Percent","7.8"
"Clinton School District","900715350","2013-2014","Chronically Absent Students","Percent","6.9"
"Clinton School District","900715350","2014-2015","Chronically Absent Students","Percent","6.9"
"Clinton School District","900715350","2015-2016","Chronically Absent Students","Percent","5.4"
"Clinton School District","900715350","2016-2017","Chronically Absent Students","Percent","6.3"
"Colchester School District","901115910","2011-2012","Chronically Absent Students","Percent","2.5"
"Colchester School District","901115910","2012-2013","Chronically Absent Students","Percent","6.1"
"Colchester School District","901115910","2013-2014","Chronically Absent Students","Percent","5.2"
"Colchester School District","901115910","2014-2015","Chronically Absent Students","Percent","3.9"
"Colchester School District","901115910","2015-2016","Chronically Absent Students","Percent","5.8"
"Colchester School District","901115910","2016-2017","Chronically Absent Students","Percent","5.6"
"Colebrook School District","","2011-2012","Chronically Absent Students","Percent","-9999"
"Colebrook School District","","2012-2013","Chronically Absent Students","Percent","-9999"
"Colebrook School District","","2013-2014","Chronically Absent Students","Percent","-9999"
"Colebrook School District","","2014-2015","Chronically Absent Students","Percent","-9999"
"Colebrook School District","","2015-2016","Chronically Absent Students","Percent","-9999"
"Colebrook School District","","2016-2017","Chronically Absent Students","Percent","-9999"
"Columbia School District","","2011-2012","Chronically Absent Students","Percent","7.4"
"Columbia School District","","2012-2013","Chronically Absent Students","Percent","4.1"
"Columbia School District","","2013-2014","Chronically Absent Students","Percent","-9999"
"Columbia School District","","2014-2015","Chronically Absent Students","Percent","5.2"
"Columbia School District","","2015-2016","Chronically Absent Students","Percent","3.8"
"Columbia School District","","2016-2017","Chronically Absent Students","Percent","5.4"
"Common Ground High School District","","2011-2012","Chronically Absent Students","Percent","12.8"
"Common Ground High School District","","2012-2013","Chronically Absent Students","Percent","14.5"
"Common Ground High School District","","2013-2014","Chronically Absent Students","Percent","16.6"
"Common Ground High School District","","2014-2015","Chronically Absent Students","Percent","15.3"
"Common Ground High School District","","2015-2016","Chronically Absent Students","Percent","11.5"
"Common Ground High School District","","2016-2017","Chronically Absent Students","Percent","12.9"
"Connecticut","9","2011-2012","Chronically Absent Students","Percent","11.1"
"Connecticut","9","2012-2013","Chronically Absent Students","Percent","11.5"
"Connecticut","9","2013-2014","Chronically Absent Students","Percent","10.8"
"Connecticut","9","2014-2015","Chronically Absent Students","Percent","10.6"
"Connecticut","9","2015-2016","Chronically Absent Students","Percent","9.6"
"Connecticut","9","2016-2017","Chronically Absent Students","Percent","9.9"
"Connecticut Technical High School System","","2011-2012","Chronically Absent Students","Percent","10.2"
"Connecticut Technical High School System","","2012-2013","Chronically Absent Students","Percent","12.1"
"Connecticut Technical High School System","","2013-2014","Chronically Absent Students","Percent","12.9"
"Connecticut Technical High School System","","2014-2015","Chronically Absent Students","Percent","13.7"
"Connecticut Technical High School System","","2015-2016","Chronically Absent Students","Percent","12.7"
"Connecticut Technical High School System","","2016-2017","Chronically Absent Students","Percent","12.5"
"Cooperative Educational Services","","2011-2012","Chronically Absent Students","Percent","17.0"
"Cooperative Educational Services","","2012-2013","Chronically Absent Students","Percent","18.5"
"Cooperative Educational Services","","2013-2014","Chronically Absent Students","Percent","15.8"
"Cooperative Educational Services","","2014-2015","Chronically Absent Students","Percent","18.9"
"Cooperative Educational Services","","2015-2016","Chronically Absent Students","Percent","16.4"
"Cooperative Educational Services","","2016-2017","Chronically Absent Students","Percent","19.7"
"Cornwall School District","","2011-2012","Chronically Absent Students","Percent","5.7"
"Cornwall School District","","2012-2013","Chronically Absent Students","Percent","-9999"
"Cornwall School District","","2013-2014","Chronically Absent Students","Percent","-9999"
"Cornwall School District","","2014-2015","Chronically Absent Students","Percent","-9999"
"Cornwall School District","","2015-2016","Chronically Absent Students","Percent","-9999"
"Cornwall School District","","2016-2017","Chronically Absent Students","Percent","-9999"
"Coventry School District","","2011-2012","Chronically Absent Students","Percent","6.2"
"Coventry School District","","2012-2013","Chronically Absent Students","Percent","6.9"
"Coventry School District","","2013-2014","Chronically Absent Students","Percent","5.4"
"Coventry School District","","2014-2015","Chronically Absent Students","Percent","6.9"
"Coventry School District","","2015-2016","Chronically Absent Students","Percent","5.6"
"Coventry School District","","2016-2017","Chronically Absent Students","Percent","10.1"
"Cromwell School District","","2011-2012","Chronically Absent Students","Percent","6.2"
"Cromwell School District","","2012-2013","Chronically Absent Students","Percent","4.6"
"Cromwell School District","","2013-2014","Chronically Absent Students","Percent","5.5"
"Cromwell School District","","2014-2015","Chronically Absent Students","Percent","3.0"
"Cromwell School District","","2015-2016","Chronically Absent Students","Percent","1.7"
"Cromwell School District","","2016-2017","Chronically Absent Students","Percent","1.8"
"Danbury School District","900118500","2011-2012","Chronically Absent Students","Percent","12.5"
"Danbury School District","900118500","2012-2013","Chronically Absent Students","Percent","11.0"
"Danbury School District","900118500","2013-2014","Chronically Absent Students","Percent","6.1"
"Danbury School District","900118500","2014-2015","Chronically Absent Students","Percent","7.1"
"Danbury School District","900118500","2015-2016","Chronically Absent Students","Percent","7.4"
"Danbury School District","900118500","2016-2017","Chronically Absent Students","Percent","7.2"
"Darien School District","900118850","2011-2012","Chronically Absent Students","Percent","4.1"
"Darien School District","900118850","2012-2013","Chronically Absent Students","Percent","3.6"
"Darien School District","900118850","2013-2014","Chronically Absent Students","Percent","3.6"
"Darien School District","900118850","2014-2015","Chronically Absent Students","Percent","4.3"
"Darien School District","900118850","2015-2016","Chronically Absent Students","Percent","2.9"
"Darien School District","900118850","2016-2017","Chronically Absent Students","Percent","3.2"
"Deep River School District","","2011-2012","Chronically Absent Students","Percent","5.6"
"Deep River School District","","2012-2013","Chronically Absent Students","Percent","3.4"
"Deep River School District","","2013-2014","Chronically Absent Students","Percent","2.2"
"Deep River School District","","2014-2015","Chronically Absent Students","Percent","-9999"
"Deep River School District","","2015-2016","Chronically Absent Students","Percent","1.9"
"Deep River School District","","2016-2017","Chronically Absent Students","Percent","2.8"
"Department of Mental Health and Addiction Services","","2011-2012","Chronically Absent Students","Percent","-9999"
"Department of Mental Health and Addiction Services","","2012-2013","Chronically Absent Students","Percent","-9999"
"Department of Mental Health and Addiction Services","","2013-2014","Chronically Absent Students","Percent","-9999"
"Department of Mental Health and Addiction Services","","2014-2015","Chronically Absent Students","Percent","-9999"
"Department of Mental Health and Addiction Services","","2015-2016","Chronically Absent Students","Percent","-9999"
"Department of Mental Health and Addiction Services","","2016-2017","Chronically Absent Students","Percent","-9999"
"Derby School District","900919550","2011-2012","Chronically Absent Students","Percent","13.2"
"Derby School District","900919550","2012-2013","Chronically Absent Students","Percent","14.3"
"Derby School District","900919550","2013-2014","Chronically Absent Students","Percent","16.3"
"Derby School District","900919550","2014-2015","Chronically Absent Students","Percent","16.7"
"Derby School District","900919550","2015-2016","Chronically Absent Students","Percent","13.0"
"Derby School District","900919550","2016-2017","Chronically Absent Students","Percent","12.8"
"Eastern Connecticut Regional Educational Services","","2011-2012","Chronically Absent Students","Percent","20.1"
"Eastern Connecticut Regional Educational Services","","2012-2013","Chronically Absent Students","Percent","70.2"
"Eastern Connecticut Regional Educational Services","","2013-2014","Chronically Absent Students","Percent","13.4"
"Eastern Connecticut Regional Educational Services","","2014-2015","Chronically Absent Students","Percent","32.3"
"Eastern Connecticut Regional Educational Services","","2015-2016","Chronically Absent Students","Percent","33.9"
"Eastern Connecticut Regional Educational Services","","2016-2017","Chronically Absent Students","Percent","34.3"
"Eastford School District","","2011-2012","Chronically Absent Students","Percent","5.7"
"Eastford School District","","2012-2013","Chronically Absent Students","Percent","5.9"
"Eastford School District","","2013-2014","Chronically Absent Students","Percent","5.2"
"Eastford School District","","2014-2015","Chronically Absent Students","Percent","5.8"
"Eastford School District","","2015-2016","Chronically Absent Students","Percent","-9999"
"Eastford School District","","2016-2017","Chronically Absent Students","Percent","-9999"
"East Granby School District","900322070","2011-2012","Chronically Absent Students","Percent","5.2"
"East Granby School District","900322070","2012-2013","Chronically Absent Students","Percent","7.0"
"East Granby School District","900322070","2013-2014","Chronically Absent Students","Percent","5.6"
"East Granby School District","900322070","2014-2015","Chronically Absent Students","Percent","7.1"
"East Granby School District","900322070","2015-2016","Chronically Absent Students","Percent","6.0"
"East Granby School District","900322070","2016-2017","Chronically Absent Students","Percent","5.8"
"East Haddam School District","","2011-2012","Chronically Absent Students","Percent","7.8"
"East Haddam School District","","2012-2013","Chronically Absent Students","Percent","7.6"
"East Haddam School District","","2013-2014","Chronically Absent Students","Percent","6.7"
"East Haddam School District","","2014-2015","Chronically Absent Students","Percent","6.8"
"East Haddam School District","","2015-2016","Chronically Absent Students","Percent","6.3"
"East Haddam School District","","2016-2017","Chronically Absent Students","Percent","6.1"
"East Hampton School District","900722490","2011-2012","Chronically Absent Students","Percent","5.9"
"East Hampton School District","900722490","2012-2013","Chronically Absent Students","Percent","5.9"
"East Hampton School District","900722490","2013-2014","Chronically Absent Students","Percent","7.0"
"East Hampton School District","900722490","2014-2015","Chronically Absent Students","Percent","7.5"
"East Hampton School District","900722490","2015-2016","Chronically Absent Students","Percent","7.4"
"East Hampton School District","900722490","2016-2017","Chronically Absent Students","Percent","7.8"
"East Hartford School District","900322630","2011-2012","Chronically Absent Students","Percent","9.8"
"East Hartford School District","900322630","2012-2013","Chronically Absent Students","Percent","19.0"
"East Hartford School District","900322630","2013-2014","Chronically Absent Students","Percent","12.9"
"East Hartford School District","900322630","2014-2015","Chronically Absent Students","Percent","16.1"
"East Hartford School District","900322630","2015-2016","Chronically Absent Students","Percent","12.9"
"East Hartford School District","900322630","2016-2017","Chronically Absent Students","Percent","14.0"
"East Haven School District","900922910","2011-2012","Chronically Absent Students","Percent","17.4"
"East Haven School District","900922910","2012-2013","Chronically Absent Students","Percent","16.1"
"East Haven School District","900922910","2013-2014","Chronically Absent Students","Percent","12.3"
"East Haven School District","900922910","2014-2015","Chronically Absent Students","Percent","11.2"
"East Haven School District","900922910","2015-2016","Chronically Absent Students","Percent","10.2"
"East Haven School District","900922910","2016-2017","Chronically Absent Students","Percent","15.7"
"East Lyme School District","901123400","2011-2012","Chronically Absent Students","Percent","6.0"
"East Lyme School District","901123400","2012-2013","Chronically Absent Students","Percent","4.9"
"East Lyme School District","901123400","2013-2014","Chronically Absent Students","Percent","5.2"
"East Lyme School District","901123400","2014-2015","Chronically Absent Students","Percent","5.7"
"East Lyme School District","901123400","2015-2016","Chronically Absent Students","Percent","4.7"
"East Lyme School District","901123400","2016-2017","Chronically Absent Students","Percent","4.5"
"Easton School District","","2011-2012","Chronically Absent Students","Percent","4.1"
"Easton School District","","2012-2013","Chronically Absent Students","Percent","3.2"
"Easton School District","","2013-2014","Chronically Absent Students","Percent","2.3"
"Easton School District","","2014-2015","Chronically Absent Students","Percent","2.5"
"Easton School District","","2015-2016","Chronically Absent Students","Percent","1.7"
"Easton School District","","2016-2017","Chronically Absent Students","Percent","2.3"
"East Windsor School District","900324800","2011-2012","Chronically Absent Students","Percent","11.8"
"East Windsor School District","900324800","2012-2013","Chronically Absent Students","Percent","10.4"
"East Windsor School District","900324800","2013-2014","Chronically Absent Students","Percent","10.9"
"East Windsor School District","900324800","2014-2015","Chronically Absent Students","Percent","10.4"
"East Windsor School District","900324800","2015-2016","Chronically Absent Students","Percent","12.2"
"East Windsor School District","900324800","2016-2017","Chronically Absent Students","Percent","12.1"
"Ellington School District","901325360","2011-2012","Chronically Absent Students","Percent","4.4"
"Ellington School District","901325360","2012-2013","Chronically Absent Students","Percent","5.7"
"Ellington School District","901325360","2013-2014","Chronically Absent Students","Percent","3.8"
"Ellington School District","901325360","2014-2015","Chronically Absent Students","Percent","4.5"
"Ellington School District","901325360","2015-2016","Chronically Absent Students","Percent","4.3"
"Ellington School District","901325360","2016-2017","Chronically Absent Students","Percent","6.3"
"Elm City College Preparatory School District","","2011-2012","Chronically Absent Students","Percent","1.6"
"Elm City College Preparatory School District","","2012-2013","Chronically Absent Students","Percent","3.5"
"Elm City College Preparatory School District","","2013-2014","Chronically Absent Students","Percent","4.6"
"Elm City College Preparatory School District","","2014-2015","Chronically Absent Students","Percent","4.5"
"Elm City College Preparatory School District","","2015-2016","Chronically Absent Students","Percent","5.7"
"Elm City College Preparatory School District","","2016-2017","Chronically Absent Students","Percent","9.1"
"Elm City Montessori School District","","2011-2012","Chronically Absent Students","Percent","-6666"
"Elm City Montessori School District","","2012-2013","Chronically Absent Students","Percent","-6666"
"Elm City Montessori School District","","2013-2014","Chronically Absent Students","Percent","-6666"
"Elm City Montessori School District","","2014-2015","Chronically Absent Students","Percent","-9999"
"Elm City Montessori School District","","2015-2016","Chronically Absent Students","Percent","20.5"
"Elm City Montessori School District","","2016-2017","Chronically Absent Students","Percent","26.7"
"Enfield School District","900325990","2011-2012","Chronically Absent Students","Percent","11.7"
"Enfield School District","900325990","2012-2013","Chronically Absent Students","Percent","11.4"
"Enfield School District","900325990","2013-2014","Chronically Absent Students","Percent","12.0"
"Enfield School District","900325990","2014-2015","Chronically Absent Students","Percent","12.0"
"Enfield School District","900325990","2015-2016","Chronically Absent Students","Percent","11.9"
"Enfield School District","900325990","2016-2017","Chronically Absent Students","Percent","10.0"
"Essex School District","","2011-2012","Chronically Absent Students","Percent","2.9"
"Essex School District","","2012-2013","Chronically Absent Students","Percent","2.1"
"Essex School District","","2013-2014","Chronically Absent Students","Percent","2.4"
"Essex School District","","2014-2015","Chronically Absent Students","Percent","2.7"
"Essex School District","","2015-2016","Chronically Absent Students","Percent","3.2"
"Essex School District","","2016-2017","Chronically Absent Students","Percent","3.5"
"Explorations District","","2011-2012","Chronically Absent Students","Percent","20.3"
"Explorations District","","2012-2013","Chronically Absent Students","Percent","39.5"
"Explorations District","","2013-2014","Chronically Absent Students","Percent","29.1"
"Explorations District","","2014-2015","Chronically Absent Students","Percent","28.4"
"Explorations District","","2015-2016","Chronically Absent Students","Percent","30.6"
